Time,can_rx.AccelPedalPos1,can_rx.AccelPedalPos2,can_rx.ActualEngTorque,can_rx.ActualGearRatio,can_rx.ActualRetarderTorque,can_rx.AirFilterDiffPressure,can_rx.AirInletPressure,can_rx.AirInletTemp,can_rx.AirSuspensionSupplyPressure,can_rx.AlternatorCurrent,can_rx.AlternatorPotential,can_rx.AmberWarningLamp,can_rx.AmbientAirTemp,can_rx.AuxEquipSupplyPressure,can_rx.AvgFuelEconomy,can_rx.BarometricPressure,can_rx.BatteryPotential,can_rx.BoostPressure,can_rx.BrakeSwitch,can_rx.CabInteriorTemp,can_rx.ClutchPressure,can_rx.ClutchSwitch,can_rx.CoolantFilterDiffPressure,can_rx.CoolantLevel,can_rx.CoolantPressure,can_rx.CrankcasePressure,can_rx.CruiseCtrlActive,can_rx.CruiseCtrlSetSpeed,can_rx.CurrentGear,can_rx.DriversDemandTorque,can_rx.EngCoolantTemp,can_rx.EngDemandTorque,can_rx.EngIntercoolerTemp,can_rx.EngIntercoolerThermOpening,can_rx.EngOilLevel,can_rx.EngOilPressure,can_rx.EngOilTemp1,can_rx.EngOverrideCtrlMode,can_rx.EngPercentLoadCurSpd,can_rx.EngReqSpdCtrlCond,can_rx.EngStarterMode,can_rx.EngTorqueMode,can_rx.EngTotalHoursOfOp,can_rx.EngTotalRevolutions,can_rx.EngineSpeed,can_rx.ExhaustGasTemp,can_rx.ExtCrankcaseBlowbyPressure,can_rx.FrontAxleSpeed,can_rx.FuelDeliveryPressure,can_rx.FuelFilterDiffPressure,can_rx.FuelLevel1,can_rx.FuelRate,can_rx.FuelTemp1,can_rx.HiResTotalVehicleDist,can_rx.HiResTripDist,can_rx.InstFuelEconomy,can_rx.IntakeManifoldTemp,can_rx.IntendedRetarderTorque,can_rx.MalfunctionLamp,can_rx.NetBatteryCurrent,can_rx.OilFilterDiffPressure,can_rx.OutputShaftSpeed,can_rx.OverrideCtrlPriority,can_rx.ParkingBrake,can_rx.ParticulateTrapInletPressure,can_rx.PercentClutchSlip,can_rx.PneumaticSupplyPressure,can_rx.ProtectLamp,can_rx.RedStopLamp,can_rx.RelativeSpeedFrontRear,can_rx.RelativeSpeedRearLR,can_rx.RemoteAccelPedalPos,can_rx.ReqSpeed_SpeedLimit,can_rx.ReqTorque_TorqueLimit,can_rx.RetarderTorqueMode,can_rx.RoadSurfaceTemp,can_rx.SelectedGear,can_rx.ServiceBrakeAirPressure1,can_rx.ServiceBrakeAirPressure2,can_rx.SrcAddrCtrlDev,can_rx.ThrottlePos,can_rx.TotalFuelUsed,can_rx.TotalVehicleDist,can_rx.TransFilterDiffPressure,can_rx.TransOilLevel,can_rx.TransOilPressure,can_rx.TransOilTemp,can_rx.TripDist,can_rx.TripFuel,can_rx.TurboOilTemp,can_rx.WasherFluidLevel,can_rx.WheelBasedVehicleSpeed,can_rx.altitude,can_rx.heading,can_rx.latitude,can_rx.longitude,can_rx.speed,can_tx.ActualEngTorque,can_tx.DriversDemandTorque,can_tx.EngDemandTorque,can_tx.EngStarterMode,can_tx.EngTorqueMode,can_tx.EngineSpeed,can_tx.SrcAddrCtrlDev
4.999999999999998,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.099999999999998,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.353515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.1999999999999975,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.299999999999997,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.399999999999997,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.4999999999999964,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.353515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.599999999999996,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.699999999999996,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.799999999999995,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.0,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.899999999999995,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
5.999999999999995,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.099999999999994,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.353515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.199999999999994,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.299999999999994,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.399999999999993,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.499999999999993,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.5999999999999925,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.699999999999992,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.353515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.799999999999992,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.8999999999999915,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
6.999999999999991,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
7.099999999999991,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
7.19999999999999,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.353515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
7.29999999999999,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
7.39999999999999,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
7.499999999999989,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
7.599999999999989,0.0,102.0,0.0,0.0,0.0,12.75,510.0,215.0,0.0,3276.75,13.05,0.0,25.4375,0.0,4.3515625,97.5,3276.75,0.0,3.0,1774.96875,0.0,3.0,127.5,100.0,510.0,0.0,0.0,103.0,0.0,0.0,90.0,0.0,215.0,102.0,102.0,0.0,1774.96875,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,1774.96875,12.75,160.48828125,1020.0,510.0,102.0,0.0,215.0,4.26047765e8,2.799073e7,0.0,59.0,0.0,0.0,1676.75,127.5,8191.875,0.0,3.0,127.5,102.0,0.0,3.0,0.0,-5.3125,0.0,102.0,0.0,0.0,0.0,1774.96875,0.0,0.0,0.0,0.0,100.0,0.0,27990.625,0.0,0.0,0.0,0.0,426047.75,0.0,1774.96875,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0
